Entity,Code,Year,Number of civil conflicts with foreign state intervention,Number of civil conflicts,Number of conflicts between states,Number of colonial or imperial conflicts,Total,annualaverage_co2_concentrations
World,OWID_WRL,1980,8,30,3,0,41,339.64
World,OWID_WRL,1981,7,33,2,0,42,340.75
World,OWID_WRL,1982,5,37,2,0,44,341.77
World,OWID_WRL,1983,6,33,4,0,43,343.49
World,OWID_WRL,1984,5,34,3,0,42,345
World,OWID_WRL,1985,4,32,2,0,38,346.55
World,OWID_WRL,1986,5,36,3,0,44,347.76
World,OWID_WRL,1987,5,37,5,0,47,350.21
World,OWID_WRL,1988,4,32,3,0,39,352.46
World,OWID_WRL,1989,5,33,2,0,40,353.9
World,OWID_WRL,1990,3,44,2,0,49,355.18
World,OWID_WRL,1991,2,49,2,0,53,355.95
World,OWID_WRL,1992,5,44,1,0,50,356.74
World,OWID_WRL,1993,6,37,0,0,43,357.85
World,OWID_WRL,1994,2,46,1,0,49,359.55
World,OWID_WRL,1995,2,39,1,0,42,361.65
World,OWID_WRL,1996,3,36,2,0,41,362.63
World,OWID_WRL,1997,4,34,1,0,39,364.68
World,OWID_WRL,1998,6,32,2,0,40,367.47
World,OWID_WRL,1999,6,32,2,0,40,368.88
World,OWID_WRL,2000,4,32,2,0,38,370.1
World,OWID_WRL,2001,5,32,2,0,39,371.96
World,OWID_WRL,2002,3,29,1,0,33,374.26
World,OWID_WRL,2003,3,28,2,0,33,376.53
World,OWID_WRL,2004,4,29,0,0,33,378.17
World,OWID_WRL,2005,5,28,0,0,33,380.53
World,OWID_WRL,2006,5,28,0,0,33,382.39
World,OWID_WRL,2007,4,31,0,0,35,384.46
World,OWID_WRL,2008,7,30,1,0,38,386.27
World,OWID_WRL,2009,7,30,0,0,37,387.84
World,OWID_WRL,2010,8,23,0,0,31,390.36
World,OWID_WRL,2011,9,27,1,0,37,392.04
World,OWID_WRL,2012,9,23,1,0,33,394.39
World,OWID_WRL,2013,10,27,1,0,38,396.88
World,OWID_WRL,2014,15,28,1,0,44,398.84
World,OWID_WRL,2015,20,31,1,0,52,401.66
World,OWID_WRL,2016,18,34,2,0,54,404.67
World,OWID_WRL,2017,21,29,1,0,51,406.75
World,OWID_WRL,2018,19,31,2,0,52,409.19
World,OWID_WRL,2019,25,28,2,0,55,411.76
World,OWID_WRL,2020,25,28,3,0,56,414.14
